placeName,placeId,review,price,description,address,sw4,sw11,sw12,telephone,website,type,tag1,tag2,tag3,subcategory,photo
Megan's on the Hill,ChIJpevOheMFdkgR34Bck8shhjg,"4,2",££,Dog-friendly all-day dining and brunch restaurant in Balham with stunning interiors.,"41-43 Bedford Hill, London SW12 9EY",0,0,1,020 3468 0216,megans.co.uk,Restaurant,Great for Vegans/Vegetarians,"Great for Working ""From Home""",Great for Bringing the Dog,"Breakfast, Middle Eastern",fallback.jpeg
Seventeen Fish & Chips,ChIJl6THdcUFdkgRQ_ML89MIRdE,"4,4",,Balham chippie that's a bit trendier than your average local chippie.,"17 Chestnut Grove, London SW12 8JA",0,0,1,020 3417 4210,,Restaurant,Good Value for Money,Generous Portions,Rustic,Seafood,fallback.jpeg
Tagine,ChIJn04iQc4FdkgRMKeOLypeYNk,"4,4",££,"Moroccan-themed space with hanging lamps, terrace and basement lounge, serving fresh mint tea.","3 Fernlea Rd, London SW12 9RT",0,0,1,020 3674 3803,,Restaurant,Good Value for Money,Relaxing,Culturally Authentic Dishes,Moroccan,fallback.jpeg
Thali & Pickles,ChIJCbtQj88FdkgRR3T6oD2aK0k,4,££,"Family-run restaurant serving delicious, traditional Indian Thali in Balham.","5-6 Balham Station Rd, London SW12 9SG",0,0,1,020 8673 3773,thaliandpickles.co.uk,Restaurant,Great for Vegans/Vegetarians,Culturally Authentic Dishes,Street Food Vibes,Indian,fallback.jpeg
The 47 Balham,ChIJe6opNrYFdkgR0eslgrqFlOE,"4,9",,"Delicious fine dining food and service, without the fine dining prices.","47 Balham Hill, London SW12 9DR",0,0,1,020 8675 9484,https://the47balham.co.uk/,Restaurant,Fantastic Flavours,Fantastic Service,Buzzing Atmosphere,Modern British,fallback.jpeg
The Georgian,ChIJ80AfHLYFdkgRSOsR1gGFeMI,"4,3",££,"Casual neighbourhood all-day eatery dishing up homestyle organic Georgian fare, with veggie options.","27 Balham Hill, London SW12 9DX",0,0,1,07894 013037,georgianrestaurant.co.uk,Restaurant,Culturally Authentic Dishes,Fantastic Flavours,Fantastic Service,Georgian,fallback.jpeg
The Umi,ChIJr8ZEbM8FdkgRB5V2Vi27c40,"4,2",,"Japanese restaurant serving Izakaya style plates including Sushi, Robata Yaki, Tempura, Rice and Noodles accompanied by drinks in a casual setting.","4 Bedford Hill, London SW12 9RG",0,0,1,020 3581 7433,theumi.co.uk,Restaurant,Culturally Authentic Dishes,Good Value for Money,Relaxing,Japanese,fallback.jpeg
The Georgian,ChIJ80AfHLYFdkgRSOsR1gGFeMI,4,,"Casual neighbourhood all-day eatery dishing up homestyle organic Georgian fare, with veggie options.","102-104 Clapham High St, London SW4 7UL",1,0,0,020 7720 1551,https://georgianclapham.co.uk/,Restaurant,Great for Vegans/Vegetarians,Culturally Authentic Dishes,Relaxing,Georgian,fallback.jpeg
Tonight Josephine,ChIJpXdOMXEFdkgRjRrvTmeCHuQ,"4,5",,"Cool late-night cocktail venue known for hot pink neon lights, bottomless brunch and excellent cocktails.","38 Clapham High St, London SW4 7UR",1,0,0,020 8191 9973,tonightjosephine.co.uk,Bars,Fashionable / Chic,Party Vibes,Delicious Cocktails,Cocktail Bar,fallback.jpeg
The Perky Nel,ChIJawoZr6gFdkgRzlV2Ejsr2Zk,"4,3",££,"Pub grub, weekend bottomless brunch & Sunday roast served in a traditional space with a terrace.","7-8 Cavendish Parade, London SW4 9DW",1,0,0,020 8772 0303,https://theperkynel.co.uk/,"Bars, Restaurant",Great for Bottomless Brunch,Delicious Cocktails,Buzzing Atmosphere,"Pub, Gastropub",fallback.jpeg
Sequoia Lounge,ChIJnXmRd7YFdkgRvh5oKamsTak,"4,4",,"Easygoing gathering spot featuring cocktails & hookah, plus seating on an outdoor terrace.","6 Cavendish Parade, London SW4 9DW",1,0,0,07999 171099,,Bars,Delicious Cocktails,Relaxing,Fantastic Service,Cocktail Bar,fallback.jpeg
The Windmill,ChIJOURKcHwFdkgRqfDY5N2gv6Y,"4,2",,"Classy dining in an old coaching inn offering warmly decorated rooms, plus free Wi-Fi and breakfast.","Clapham Common South Side, London SW4 9DE",1,0,0,020 8673 4578,windmillclapham.co.uk,"Bars, Restaurant",Fantastic Flavours,Luxurious,Great for Groups (6+),"Pub, Gastropub",fallback.jpeg
The Address,ChIJkeIbTgAFdkgRtbpTEHLwFqU,3,,All day café and bar newly launched on Battersea Rise.,"35-37 Battersea Rise, London SW11 1HG",0,1,0,020 3307 8279,https://theaddressbattersearise.co.uk/,"Bars, Restaurant",Fantastic Service,Buzzing Atmosphere,Relaxing,Gastropub,fallback.jpeg
Lievito Madre Pizzeria,ChIJYTIzQY0FdkgRuEyiLaCQGsY,"4,9",,Traditional Italian food in a fresh and quirky setting where you could spend the evening with your family having good food and wine or have dinner and drinks with friends before exploring the local nightlife.,"181 Clapham Manor St, London SW4 6DB",1,0,0,020 7720 6275,lievitomadre.co.uk,Restaurant,Fantastic Flavours,Exciting Menu,Fantastic Wine List,Pizza,fallback.jpeg
The Pig's Head,ChIJGWdASG4FdkgRcoyb2MriFgo,"4,7",,"London pub in Old Clapham Town offering a daily changing menu with meat sourced from trusted farms, classic Sunday roasts and craft beers.","87 Rectory Grove, London SW4 0DR",1,0,0,020 4568 5830,thepigshead.com,"Bars, Restaurant",Fantastic Flavours,Buzzing Atmosphere,Craft / Local Beer,Gastropub,fallback.jpeg
